GeneName	MethyWeight	MethyWeight_VarianceRatio	GWASWeight	NodeWeight	MethyDirection
PTPN6	4.30903345236987	1.61089468914547	1.85624736629744	3.46714205544291	-4.30903345236987
TP73	9.8004033580807	3.66379558096327	1.09694126842506	4.76073684938833	-9.8004033580807
NF1	7.38298859399638	2.76006609081889	0.852417699372467	3.61248379019136	-7.38298859399638
BMI1	2.91154298832967	1.08845503033621	2.70935708704909	3.7978121173853	-2.91154298832967
LEF1	6.53438319679793	2.44282234169568	4.16590778677531	6.60873012847099	-6.53438319679793
XPO1	3.06149801733064	1.14451441407004	3.10465583279183	4.24917024686187	-3.06149801733064
ELANE	6.11211768753804	2.28496205265523	3.65914077276464	5.94410282541987	-6.11211768753804
HLA-DRA	0.962291554399008	0.359744330492109	7.49007584036307	7.84982017085518	-0.962291554399008
CIITA	2.29579853578864	0.858264320648495	6.51371924749548	7.37198356814397	2.29579853578864
HLA-A	3.59795821078037	1.34506539287269	7.5182573574769	8.86332275034959	-3.59795821078037
APEX1	2.19852846931351	0.82190075205948	0.936039503290119	1.7579402553496	-2.19852846931351
ILF3	5.50312224696795	2.05729440241023	3.49813420288619	5.55542860529642	-5.50312224696795
VCAM1	1.88120325202056	0.703271478715591	4.07385218922688	4.77712366794247	-1.88120325202056
STAT3	3.56228738471045	1.33173016470409	6.97354487952451	8.3052750442286	-3.56228738471045
MMP9	4.12247548899722	1.54115161665911	4.54167300783186	6.08282462449097	-4.12247548899722
BAD	4.40431279874024	1.64651404433262	3.47771901310023	5.12423305743285	-4.40431279874024
MYC	1.78371646598147	0.666826891401964	4.27295060195888	4.93977749336084	-1.78371646598147
CD40	2.90289607715301	1.08522245777766	7.04198063543332	8.12720309321098	-2.90289607715301
TYK2	3.14207705628306	1.17463818714809	5.70924936897834	6.88388755612643	-3.14207705628306
MAX	2.87634717595665	1.07529738190796	1.14324487575245	2.21854225766041	-2.87634717595665
KAT5	1.59001195737172	0.594412145117884	4.60221580078997	5.19662794590785	-1.59001195737172
RELA	2.75069897772281	1.02832489550866	4.50077385969345	5.52909875520211	-2.75069897772281
EGFR	1.55758152714811	0.582288310761206	2.61032594638713	3.19261425714834	-1.55758152714811
MAPK1	0.629505262432548	0.235335068815491	6.64478317564852	6.88011824446401	-0.629505262432548
HDAC1	0.972818412048031	0.363679704693225	4.06953790802633	4.43321761271956	-0.972818412048031
